Date,Open,High,Low,Close,Adj Close,Volume
2024-01-31,3015.000000,3018.500000,2981.850098,2999.399902,2977.562744,1074596
2024-02-01,3020.000000,3074.000000,2955.149902,2997.550049,2975.726318,1920618
2024-02-02,3012.000000,3047.949951,2965.350098,2970.699951,2949.071777,1256014
2024-02-05,2980.000000,3005.000000,2912.699951,2932.500000,2911.149902,936558
2024-02-06,2936.949951,2969.000000,2907.050049,2958.449951,2936.910889,1421958
2024-02-07,2964.899902,2978.000000,2922.000000,2949.750000,2928.274170,893201
2024-02-08,2963.000000,3132.000000,2956.050049,3097.199951,3074.650635,4475010
2024-02-09,3127.000000,3127.000000,2920.000000,2965.350098,2943.760742,3176427
2024-02-12,2975.000000,2987.050049,2828.000000,2846.050049,2825.329346,2890465
2024-02-13,2861.800049,2933.000000,2824.850098,2922.600098,2901.322021,1805862
2024-02-14,2887.000000,2966.399902,2855.300049,2957.100098,2935.570801,1112043
2024-02-15,2990.000000,3034.000000,2983.149902,3023.199951,3001.189453,1788864
2024-02-16,3044.000000,3105.000000,3035.199951,3078.800049,3056.384766,2732655
2024-02-19,3099.949951,3113.899902,3016.850098,3021.750000,2999.750000,1615343
2024-02-20,3018.800049,3018.800049,2971.000000,2995.300049,2995.300049,979624
2024-02-21,2997.949951,3025.000000,2935.100098,2948.050049,2948.050049,1281770
2024-02-22,2959.000000,3010.000000,2940.000000,3005.649902,3005.649902,919890
2024-02-23,3006.000000,3065.500000,3006.000000,3045.500000,3045.500000,1388116
2024-02-26,3045.449951,3075.000000,3013.699951,3049.750000,3049.750000,849178
2024-02-27,3044.949951,3125.750000,3033.250000,3095.500000,3095.500000,2050688
2024-02-28,3114.000000,3170.000000,3061.250000,3085.199951,3085.199951,2725678
2024-02-29,3084.949951,3105.000000,3014.100098,3084.050049,3084.050049,1382425
2024-03-01,3099.000000,3164.000000,3092.000000,3154.300049,3154.300049,1516443
2024-03-04,3157.000000,3226.850098,3133.000000,3214.949951,3214.949951,1892157
2024-03-05,3229.000000,3266.750000,3201.000000,3237.000000,3237.000000,1502498
2024-03-06,3238.800049,3245.000000,3154.300049,3228.199951,3228.199951,1292669
2024-03-07,3262.000000,3334.000000,3255.050049,3317.300049,3317.300049,2251410
2024-03-11,3365.000000,3428.000000,3336.000000,3371.449951,3371.449951,2519751
2024-03-12,3375.000000,3380.000000,3241.100098,3267.550049,3267.550049,1421483
2024-03-13,3250.000000,3270.350098,3015.750000,3039.500000,3039.500000,3448647
2024-03-14,3053.949951,3177.899902,3017.050049,3165.949951,3165.949951,2329439
2024-03-15,3164.949951,3182.550049,3006.000000,3099.100098,3099.100098,2864705
2024-03-18,3138.000000,3184.000000,3105.399902,3121.949951,3121.949951,1967550
2024-03-19,3111.750000,3144.399902,3034.350098,3058.899902,3058.899902,1666528
2024-03-20,3074.000000,3080.000000,2913.600098,2980.500000,2980.500000,2975349
2024-03-21,3024.000000,3128.449951,3020.000000,3121.350098,3121.350098,1962690
2024-03-22,3114.050049,3209.899902,3085.000000,3170.800049,3170.800049,2086220
2024-03-26,3193.000000,3305.000000,3180.000000,3300.800049,3300.800049,2573125
2024-03-27,3317.000000,3324.899902,3245.000000,3281.050049,3281.050049,1503735
2024-03-28,3291.000000,3345.000000,3272.000000,3327.000000,3327.000000,1385868
2024-04-01,3392.000000,3454.250000,3362.100098,3403.350098,3403.350098,2513886
2024-04-02,3440.000000,3584.000000,3412.000000,3543.000000,3543.000000,3169551
2024-04-03,3540.000000,3610.800049,3508.300049,3589.300049,3589.300049,2077663
2024-04-04,3609.949951,3614.949951,3512.199951,3540.949951,3540.949951,1591827
